2020-09-22 15:58:35.198 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
2020-09-22 16:03:07.549 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
2020-09-22 16:11:25.597 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
2020-09-22 16:16:55.519 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
2020-09-22 16:18:08.377 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
2020-09-22 16:19:49.043 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
2020-09-22 16:24:54.008 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
2020-09-22 16:26:29.360 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
2020-09-22 16:27:40.129 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
2020-09-22 16:29:51.736 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
2020-09-22 16:31:57.376 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
2020-09-22 16:33:46.187 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
2020-09-22 16:36:44.021 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
2020-09-22 16:39:56.951 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
2020-09-22 16:51:35.487 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
2020-09-22 16:52:47.762 [main] DEBUG com.boot.boot.App - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
